ID,Year,QuestionNo,Category,IsCountQuestion,RandomizeChoices,Prompt,Choice1,Choice2,Choice3,Choice4,OriginalAnswer,Explanation,Source,PageImage,QuestionImage
R7-2025-001,2025,1,権利関係,False,FALSE,所有者ＡがＢに甲土地を売却し、その後にＢがＣに甲土地を売却した場合に関する次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。なお、この問において、Ｃは背信的悪意者ではないものとする。,甲土地の所有権登記がＡの名義のままであったとしても、Ｂは、Ｃに甲土地を売却した後は、Ａに対して自己に甲土地の所有権移転登記をするよう請求することはできない。,Ｃは、甲土地の所有権移転登記を備えなければ、Ａに対して自己が所有者であることを主張することができない。,ＡＢ間の売買契約が、ＢＣ間の売買契約締結よりも前にＡにより解除されていた場合、又は、ＢＣ間の売買契約締結後にＡにより解除された場合のいずれの場合であっても、Ｃは、甲土地の所有権移転登記を備えれば、Ａに対して自己の所有権を主張することができる。,ＡＢ間の売買契約が、ＢＣ間の売買契約よりも前にＢの強迫を理由として取り消されていた場合、又は、ＢＣ間の売買契約締結後にＢの強迫を理由として取り消された場合のいずれの場合であっても、Ｃは、Ｂの強迫につき善意でかつ過失がなければ、Ａに対して自己の所有権を主張することができる。,3,正解は 3 です。 土地では、地形・地盤・災害リスク・道路付けなどが重要です。実務では買主の利用目的や再建築可能性にも関係します。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p02.jpg,q_2025_01.jpg
R7-2025-002,2025,2,権利関係,False,FALSE,個人であるＡが、①賃貸人Ｂと賃借人Ｃとの間の期間を2 年とする居住用甲建物の賃貸借契約に基づくＣの一切の債務の連帯保証契約をＢと締結した場合、②売主Ｄと買主Ｅとの間の居住用乙建物の売買契約に基づく代金支払債務の保証契約をＤと締結した場合、に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,①の連帯保証契約は書面によってしなければ無効であるのに対し、②の保証契約は書面によらず、口頭で契約を締結しても有効である。,①のＢがＡに対して連帯保証債務の履行を請求してきた場合には、ＡはまずＣに請求するように主張できるのに対し、②のＤがＡに対して保証債務の履行を請求してきた場合には、ＡはまずＥに請求するように主張することはできない。,①の連帯保証契約は保証の限度額である極度額を定めなければ無効であるのに対し、②の保証契約は極度額を定める必要はない。,①も②もＡが主たる債務者Ｃ及びＥの委託を受けて保証した場合において、Ａが債権者Ｂ及びＤに対して主たる債務の履行状況に関する情報を提供するよう請求したときは、①のＢは、これらの情報を、遅滞なく、Ａに提供しなければならないのに対し、②のＤは、守秘義務を理由にこれらの情報の提供を拒否することができる。,3,正解は 3 です。 借地借家法では、普通借地・定期借地・普通建物賃貸借・定期建物賃貸借の違いが重要です。存続期間、更新、終了、書面要件を整理します。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p02.jpg,q_2025_02.jpg
R7-2025-003,2025,3,権利関係,True,FALSE,意思表示に関する次の記述のうち、民法の規定によれば、誤っているものはいくつあるか。ア 表意者が真意でないことを知ってした意思表示は無効であるが、相手方がその意思表示が表意者の真意ではないことを知らなければ、知らないことにつき過失があっても、当該意思表示は有効となる。イ 相手方と通じてした虚偽の意思表示は無効であり、第三者がその虚偽表示につき善意であっても、過失があれば、当該第三者にその無効を対抗することができる。ウ 意思表示は、当該意思表示に対応する意思を欠く錯誤に基づくものであって、その錯誤が法律行為の目的及び取引上の社会通念に照らして重要なものであるときは、無効であるが、その錯誤につき善意でかつ過失がない第三者には、その無効を対抗することができない。エ 詐欺による意思表示は取り消すことができるが、その詐欺につき善意でかつ過失がない取消し前の第三者には、その取消しを対抗することができない。,一つ,二つ,三つ,四つ,3,正解は 3 です。 意思表示では、心裡留保、通謀虚偽表示、錯誤、詐欺、強迫の効力と第三者保護が頻出です。取消し・無効・善意無過失の要件を比較して覚えます。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p03.jpg,q_2025_03.jpg
R7-2025-004,2025,4,権利関係,False,FALSE,"ＡがＢから弁済の期限の定めなく金1,000 万円を借り入れる金銭消費貸借契約（以下この問において「本件契約」という。）における次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。",Ａは、本件契約におけるＡの債務を担保するために、Ａが所有する不動産に対し、Ｂのために、抵当権を設定することはできるが、質権を設定することはできない。,Ａが本件契約に基づく債務の弁済を怠ったときに、ＢがＡから預かっている動産を占有している場合には、Ｂは当該動産の返還時期が到来しても弁済を受けるまでその動産に関して留置権を行使することができる。,Ａが本件契約に基づく債務の弁済を怠った場合には、ＢはＡの総財産に対して先取特権を行使することができる。,"Ａが、期限が到来しているＢの悪意による不法行為に基づく金1,000 万円の損害賠償請求債権をＢに対して有している場合、Ａは本件契約に基づく返還債務をＢに対する当該損害賠償請求債権で相殺することができる。",4,正解は 4 です。 権利関係は、民法・借地借家法などを中心に、契約の成立、効力、解除、対抗関係を判断する分野です。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p03.jpg,q_2025_04.jpg
R7-2025-005,2025,5,権利関係,True,FALSE,Ａの子がＢであり、Ｂの子がＣであり、ＣがＡの直系卑属である場合において、民法の規定によれば、次のアからエまでの記述のうち、Ａが死亡した際にＣがＢを代襲してＡの相続人となるときを全て掲げたものはどれか。ア Ａが死亡する以前にＢが死亡したときイ Ｂが相続に関するＡの遺言書を偽造して相続権を失ったときウ ＢがＡによって相続人から廃除されて相続権を失ったときエ Ｂが相続放棄をしたとき,ア、エ,イ、ウ,ア、ウ、エ,ア、イ、ウ,4,正解は 4 です。 相続では、相続人、相続分、遺産分割、代襲相続、相続放棄、遺言の効力などを整理します。相続開始前後で権利関係がどう変わるかがポイントです。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p04.jpg,q_2025_05.jpg
R7-2025-006,2025,6,権利関係,False,FALSE,Ａが所有している甲土地についての物権変動に関する次の記述のうち、民法の規定及び判例によれば、誤っているものはどれか。,Ｂが甲土地をＡに無断でＣに売却し、その後、ＢがＡから甲土地を購入した場合、Ｃは、Ｂから甲土地を購入した時点に遡って甲土地の所有権を取得する。,Ｄが甲土地につき、Ａに無断でＤへの虚偽の所有権の移転の登記をした上で、甲土地をＥに売却してその旨の登記をした場合において、その後、ＡがＦに甲土地を売却したときは、Ｆは、Ｅに対し、甲土地の所有権を主張することができる。,Ｇが甲土地の所有権を時効取得した場合、Ｇはその後にＡを単独相続したＨに対して、登記を備えていなくても、甲土地の所有権を主張することができる。,Ａが甲土地上の立木の所有権を留保して甲土地をＪに売却し、その後、ＪがＫに甲土地及びその上の立木を売却した場合には、Ａは、Ｋに対し、立木の所有権の留保につき登記又は明認方法を備えない限り、立木の所有権を主張することができない。,1,正解は 1 です。 土地では、地形・地盤・災害リスク・道路付けなどが重要です。実務では買主の利用目的や再建築可能性にも関係します。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p04.jpg,q_2025_06.jpg
R7-2025-007,2025,7,権利関係,False,FALSE,Ａは自己の所有する甲建物を事務所としてＢに賃貸し（以下この問において「本件契約」という。）、その後、本件契約の期間中に甲建物の屋根に雨漏りが生じたため、ＣがＢから甲建物の屋根の修理を請け負い、Ｃによる修理が完了した。この場合における次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。,ＢがＣに修理代金を支払わないまま無資力となり、賃料を滞納して本件契約が解除されたことにより甲建物はＡに明け渡された。この場合、ＣはＡに対して、事務管理に基づいて修理費用相当額の支払を求めることはできない。,ＢがＣに修理代金を支払ったとしても、本件契約において、Ａの負担に属するとされる甲建物の屋根の修理費用について直ちに償還請求することができる旨の特約がない限り、契約終了時でなければ、ＢはＡに対して償還を求めることはできない。,ＢがＣに修理代金を支払わない場合、Ｃは、Ｂが占有する甲建物につき、当然に不動産工事の先取特権を行使することができる。,ＢがＣに修理代金を支払わないまま無資力となり、賃料を滞納して本件契約が解除されたことにより甲建物はＡに明け渡された。本件契約において、ＢがＡに権利金を支払わないことの代償として、甲建物の修理費用をＢの負担とする旨の特約が存し、当該屋根の修理費用と権利金が相応していたときであっても、ＣはＡに対して、不当利得に基づいて修理費用相当額の支払を求めることができる。,1,正解は 1 です。 建物では、構造、耐震性、劣化、維持管理、設備状況などが重要です。中古住宅では契約不適合やインスペクションにもつながります。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p05.jpg,q_2025_07.jpg
R7-2025-008,2025,8,権利関係,False,FALSE,Ａ、Ｂ及びＣがそれぞれ3 分の1 の持分の割合で甲土地を共有している場合に関する次の記述のうち、民法の規定及び判例によれば、誤っているものはどれか。なお、甲土地を分割しない旨の契約は存在しないものとする。,甲土地につき無権利のＤが、自己への虚偽の所有権移転登記をした場合には、Ａは、単独で、Ｄに対し、その所有権移転登記の抹消を求めることができる。,Ａが甲土地についての自己の持分を放棄した場合には、その持分は国庫に帰属する。,Ａが死亡し、Ｅ及びＦが相続した場合には、Ｂ及びＣは、Ａの遺産についての遺産分割がされる前であっても、Ｅ及びＦに対して共有物分割の訴えを提起することができる。,ＡがＢ及びＣに無断で甲土地を占有している場合であっても、Ｂは、Ａに対し、当然には自己に甲土地を明け渡すように求めることができない。,2,正解は 2 です。 共有では、保存行為・管理行為・変更行為で必要な同意の程度が異なります。持分放棄、共有物分割、所在不明共有者がいる場合の扱いも重要です。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p05.jpg,q_2025_08.jpg
R7-2025-009,2025,9,権利関係,False,FALSE,連帯債務者の一人について生じた次の事由のうち、民法の規定によれば、他の連帯債務者に対して効力が生じないものとして正しいものはどれか。なお、この問において、連帯債務者の一人について生じた事由が他の連帯債務者に対して効力が生じる旨の別段の意思表示はないものとする。,債権者がした連帯債務者の一人に対する履行の請求,連帯債務者の一人と債権者との間の混同,連帯債務者の一人が債権者に対して債権を有する場合において、その連帯債務者がした相殺の援用,連帯債務者の一人と債権者との間の更改,1,正解は 1 です。 意思表示では、心裡留保、通謀虚偽表示、錯誤、詐欺、強迫の効力と第三者保護が頻出です。取消し・無効・善意無過失の要件を比較して覚えます。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p06.jpg,q_2025_09.jpg
R7-2025-010,2025,10,権利関係,False,FALSE,Ａを売主、Ｂを買主とする甲土地の売買契約による甲土地の引渡し後に、目的物の品質に関して契約の内容に適合しない土壌汚染が見つかった場合の売主の担保の責任（以下この問において「契約不適合責任」という。）に基づく損害賠償に関する次の記述のうち、民法の規定、宅地建物取引業法の規定及び判例によれば、誤っているものはどれか。,Ｂは、甲土地の引渡しの日から11 年が経過した時点で甲土地の土壌汚染を発見し、発見した時点から1 年以内にＡに通知した。Ａが当該土壌汚染があることを重大な過失なく知らなかった場合、Ａが宅地建物取引業者であるか否かにかかわらず、Ｂは損害賠償を請求することはできない。,甲土地の引渡しの日から3 年以内に契約不適合の通知をしなければ売主は契約不適合責任を負わない旨の特約があり、Ｂが引渡しの日から4 年が経過した時点で土壌汚染を発見して直ちにＡに通知した。Ａが当該土壌汚染があることを重大な過失なく知らなかった場合、Ａが宅地建物取引業者であるか否かにかかわらず、Ｂは損害賠償を請求することはできない。,甲土地の引渡しの日から1 年以内に契約不適合の通知をしなければ売主は契約不適合責任を負わない旨の特約があり、Ａは甲土地に土壌汚染があることを売買契約締結時点で知っていて告げていなかった。Ｂが引渡しの日から3 年が経過した時点で当該土壌汚染を発見して直ちにＡに通知した場合、Ａが宅地建物取引業者であるか否かによって、Ｂが損害賠償を請求できるか否かの結論が異なる。,売主は契約不適合責任を一切負わない旨の特約があり、Ｂは引渡しの日から1 年が経過した時点で土壌汚染を発見して直ちにＡに通知した。Ａが当該土壌汚染があることを重大な過失なく知らなかった場合、Ａが宅地建物取引業者であるか否かによって、Ｂが損害賠償を請求できるか否かの結論が異なる。,3,正解は 3 です。 契約不適合責任では、目的物が契約内容に適合しない場合に、追完請求、代金減額請求、損害賠償請求、解除が問題になります。通知期間や売主が宅建業者の場合の特約制限にも注意します。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p06.jpg,q_2025_10.jpg
R7-2025-011,2025,11,権利関係,False,FALSE,ＡがＢとの間で、Ａ所有の甲土地につき建物の所有を目的として一時使用目的ではない賃貸借契約（以下この問において「本件契約」という。）を締結する場合に関する次の記述のうち、借地借家法の規定及び判例によれば、正しいものはどれか。,甲土地にＢが賃借権の登記をしなくても、Ｂの配偶者であるＣを所有者として登記されている建物が甲土地上に存在する場合には、甲土地がＡからＤに売却されても、ＢはＤに対して甲土地に賃借権を有していることを主張できる。,本件契約の存続期間が50 年であり、契約の更新及び建物の築造による存続期間の延長がない旨を定める場合、一定期間地代を減額せず、その期間は地代の減額請求ができない旨の特約を有効に定めることができる。,本件契約が専らＢの事業の用に供する建物の所有を目的とし、存続期間が50 年である場合、契約の更新及び建物の築造による存続期間の延長がない旨、並びにＢが借地借家法第13 条の規定による建物の買取りの請求をしない旨の特約を書面で有効に定めることができる。,本件契約が公正証書によって行われていれば、専らＢの居住の用に供する建物の所有を目的とし、存続期間を20 年と定めていても、Ａは正当事由があれば、20 年が経過した時点で遅滞なく異議を述べて更新を拒絶することができる。,3,正解は 3 です。 借地借家法では、普通借地・定期借地・普通建物賃貸借・定期建物賃貸借の違いが重要です。存続期間、更新、終了、書面要件を整理します。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p07.jpg,q_2025_11.jpg
R7-2025-012,2025,12,権利関係,False,FALSE,Ａを賃貸人、Ｂを賃借人とする甲建物の賃貸借契約（定期建物賃貸借契約及び一時使用目的の建物の賃貸借契約を除く。以下この問において「本件契約」という。）に関する次の記述のうち、民法及び借地借家法の規定によれば、正しいものはどれか。,本件契約が期間の定めがないものである場合において、Ａ又はＢから相手方に対して解約の申入れをしたときは、当該申入れの日から6 か月を経過することによって、本件契約は終了する。,本件契約が期間を2 年とするものである場合において、Ａ及びＢのいずれも期間の満了の,年前から6 か月前までの間に相手方に対して更新をしない旨の通知をしなかったときは、本件契約は、期間を2 年として、従前の契約と同一の条件で更新されたものとみなされる。,ＡＢ間において、造作買取請求権は行使しない旨の特約があった場合、この特約は有効である。4 本件契約が借地借家法第39 条に規定する取壊し予定の建物の賃貸借であり、甲建物を取り壊すこととなる時に本件契約が終了する旨の特約を定める場合、本件契約は、公正証書によってしなければならない。,3,正解は 3 です。 借地借家法では、普通借地・定期借地・普通建物賃貸借・定期建物賃貸借の違いが重要です。存続期間、更新、終了、書面要件を整理します。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p07.jpg,q_2025_12.jpg
